,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
4038,A warm and affordable room in Hong Kong,Hong Kong,Apartment,400.00,Private room,1.0,1.0,2,moderate,4,2,0.00,40,1,10.0,2019-03-11,Tang,1,2019-03-11,69,114.16521,22.30781
4039,BCN11# Double room with bathroom A/C,Spain,Apartment,40.00,Private room,1.0,1.0,2,strict_14_with_grace_period,13,1,0.00,1125,1,10.0,2019-03-08,Cristina And Lorenzo,20,2019-03-08,277,2.18541,41.38394
4040,Maui Sunset - Condo - Ocean View 1 bedroom  -B109,United States,Condominium,175.00,Entire home/apt,1.0,3.0,5,strict_14_with_grace_period,0,2,0.00,1125,1,0.0,2019-03-06,Ryan,3,2019-03-06,276,-156.45638,20.75576
4041,Cozy 2BR condo in Montreal Downtown,Canada,Condominium,200.00,Entire home/apt,2.0,4.0,6,strict_14_with_grace_period,6,1,25.00,1125,4,8.0,2019-03-11,Kyle,4,2019-03-11,151,-73.58377,45.4918
4042,"Merkezi daire, metroya çok yakın",Turkey,Apartment,575.00,Entire home/apt,1.0,1.0,2,flexible,1,1,0.00,6,1,10.0,2019-02-18,Mert,1,2019-02-18,179,28.99368,41.08618
4043,伊斯坦布尔伊人之家female only(提供女游客全境保护作家客厅文化沙龙导游土耳其旅游注意事项),Turkey,Bed and breakfast,58.00,Shared room,1.0,2.0,2,flexible,3,1,0.00,1125,1,10.0,2019-02-18,巧,3,2019-02-18,357,28.9416,41.01008
4044,"Tatlı, huzurlu",Turkey,Apartment,301.00,Entire home/apt,1.0,2.0,3,flexible,1,3,0.00,15,1,10.0,2019-02-18,Damla,1,2019-02-18,178,28.98678,41.03547
4045,Sisli Fulya'da keyifli  bir ev,Turkey,Serviced apartment,148.00,Private room,1.0,2.0,2,moderate,0,1,50.00,1125,1,0.0,2019-02-18,Burak,1,2019-02-18,180,28.99243,41.05695
4046,BirdhouseA :),Turkey,House,58.00,Private room,1.0,1.0,2,flexible,0,1,0.00,3,1,0.0,2019-02-18,Nilay,2,2019-02-18,365,29.04138,41.07217
4047,Santa Catarina Downtown III,Portugal,Apartment,200.00,Entire home/apt,1.0,1.0,6,moderate,0,1,5.00,1125,2,0.0,2019-02-16,Marta,24,2019-02-16,346,-8.60645,41.14919
